KB-Dienst;Links_hnr;Artikelen_hnr;Links_overige;Artikelen_overige;Sortorder
Delpher - Kranten 1618-1995 (Basiscollectie);8919;3768;2960;1955;1
Delpher - Boeken 17e t/m 20e eeuw (Basiscollectie);133;98;39;23;2
Delpher - Tijdschriften 19e en 20e eeuw;118;90;56;25;3
Delpher - Boeken tot 1874 (Googlecollectie);36;10;22;14;4
Delpher - Rest - o.a. homepage, statische pagina's;32;31;74;55;5
Delpher - Radiobulletins van het ANP;9;9;22;19;6
Totaal Delpher, alle inhoud;9247;3941;3173;2017;7
Digitale Bibliotheek der Nederlandse Letteren;8743;6499;2223;1072;8
Literatuurgeschiedenis.nl (project van DBNL);65;59;37;26;9
DBNL Schrijvers - Hermans, Du Perron, Ter Braak;32;22;16;8;10
Het Geheugen van Nederland;582;497;251;162;11
Staten-Generaal Digitaal;213;157;263;74;12
Algemene KB-catalogus;512;463;1431;1391;13
KB.nl;363;311;447;188;14
Wijsbegeerte in Nederland (Poortmans repertorium);57;52;20;17;15
Digitale Bibliografie Nederlandse Geschiedenis;51;50;33;28;16
Bibliopolis (boekgeschiedenis);13;13;17;11;17
Middeleeuwse Verluchte Handschriften;9;9;38;14;18
Medieval Manuscripts in Dutch Collections;7;7;13;9;19
Watermerken in Incunabelen uit de Lage Landen;2;2;15;11;20
Net Uit - Nederlandse Bibliografie Weeklijst (archief);1;1;8;8;21
KB Lijsten en verzamelingen;1;1;11;11;22
Bibliografie van de Literaire Tijdschriften in Vlaanderen en Nederland;1;1;11;9;23
Literatuurplein;241;160;67;45;24
Bibliotheek.nl;80;70;54;49;25
Leesplein;74;69;18;18;26
Vakantiebieb;1;1;4;4;27
Digitale etalages;1;1;4;4;28
Totaal alle KB-websites;20295;11432;8158;3446;29
